name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,domestic,catsize
aardvark,X,,,X,,,X,X,X,X,,,,
antelope,X,,,X,,,,X,X,X,,,X,
bass,    ,,X,,,X,X,X,X,,,X,X,
bear,    X,,,X,,,X,X,X,X,,,,
boar,    X,,,X,,,X,X,X,X,,,X,
buffalo, X,,,X,,,,X,X,X,,,X,
calf,    X,,,X,,,,X,X,X,,,X,X
carp,    ,,X,,,X,,X,X,,,X,X,X
catfish, ,,X,,,X,X,X,X,,,X,X,
cavy,    X,,,X,,,,X,X,X,,,,X
cheetah, X,,,X,,,X,X,X,X,,,X,
chicken, ,X,X,,X,,,,X,X,,,X,X
chub,    ,,X,,,X,X,X,X,,,X,X,
clam,    ,,X,,,,X,,,,,,,
crab,    ,,X,,,X,X,,,,,,,
crayfish,,,X,,,X,X,,,,,,,
crow,    ,X,X,,X,,X,,X,X,,,X,
deer,    X,,,X,,,,X,X,X,,,X,
dogfish, ,,X,,,X,X,X,X,,,X,,
dolphin, ,,,X,,X,X,X,X,X,,X,X,
dove,    ,X,X,,X,,,,X,X,,,X,X
duck,    ,X,X,,X,X,,,X,X,,,X,
elephant,X,,,X,,,,X,X,X,,,X,
flamingo,,X,X,,X,,,,X,X,,,X,
flea,    ,,X,,,,,,,X,,,,
frog,    ,,X,,,X,X,X,X,X,,,,
fruitbat,X,,,X,X,,,X,X,X,,,X,
giraffe, X,,,X,,,,X,X,X,,,X,
girl,    X,,,X,,,X,X,X,X,,,,X
gnat,    ,,X,,X,,,,,X,,,,
goat,    X,,,X,,,,X,X,X,,,X,X
gorilla, X,,,X,,,,X,X,X,,,,
gull,    ,X,X,,X,X,X,,X,X,,,X,
haddock, ,,X,,,X,,X,X,,,X,X,
hamster, X,,,X,,,,X,X,X,,,X,X
hare,    X,,,X,,,,X,X,X,,,X,
hawk,    ,X,X,,X,,X,,X,X,,,X,
herring, ,,X,,,X,X,X,X,,,X,X,
honeybee,X,,X,,X,,,,,X,X,,,X
housefly,X,,X,,X,,,,,X,,,,
kiwi,    ,X,X,,,,X,,X,X,,,X,
ladybird,,,X,,X,,X,,,X,,,,
lark,    ,X,X,,X,,,,X,X,,,X,
leopard, X,,,X,,,X,X,X,X,,,X,
lion,    X,,,X,,,X,X,X,X,,,X,
lobster, ,,X,,,X,X,,,,,,,
lynx,    X,,,X,,,X,X,X,X,,,X,
mink,    X,,,X,,X,X,X,X,X,,,X,
mole,    X,,,X,,,X,X,X,X,,,X,
mongoose,X,,,X,,,X,X,X,X,,,X,
moth,    X,,X,,X,,,,,X,,,,
newt,    ,,X,,,X,X,X,X,X,,,X,
octopus, ,,X,,,X,X,,,,,,,
opossum, X,,,X,,,X,X,X,X,,,X,
oryx,    X,,,X,,,,X,X,X,,,X,
ostrich, ,X,X,,,,,,X,X,,,X,
parakeet,,X,X,,X,,,,X,X,,,X,X
penguin, ,X,X,,,X,X,,X,X,,,X,
pheasant,,X,X,,X,,,,X,X,,,X,
pike,    ,,X,,,X,X,X,X,,,X,X,
piranha, ,,X,,,X,X,X,X,,,X,X,
pitviper,,,X,,,,X,X,X,X,X,,X,
platypus,X,,X,X,,X,X,,X,X,,,X,
polecat, X,,,X,,,X,X,X,X,,,X,
pony,    X,,,X,,,,X,X,X,,,X,X
porpoise,,,,X,,X,X,X,X,X,,X,X,
puma,    X,,,X,,,X,X,X,X,,,X,
pussycat,X,,,X,,,X,X,X,X,,,X,X
raccoon, X,,,X,,,X,X,X,X,,,X,
reindeer,X,,,X,,,,X,X,X,,,X,X
rhea,    ,X,X,,,,X,,X,X,,,X,
scorpion,,,,,,,X,,,X,X,,X,
seahorse,,,X,,,X,,X,X,,,X,X,
seal,    X,,,X,,X,X,X,X,X,,X,,
sealion, X,,,X,,X,X,X,X,X,,X,X,
seasnake,,,,,,X,X,X,X,,X,,X,
seawasp, ,,X,,,X,X,,,,X,,,
skimmer, ,X,X,,X,X,X,,X,X,,,X,
skua,    ,X,X,,X,X,X,,X,X,,,X,
slowworm,,,X,,,,X,X,X,X,,,,X
slug,    ,,X,,,,,,,X,,,,
sole,    ,,X,,,X,,X,X,,,X,X,
sparrow, ,X,X,,X,,,,X,X,,,X,
squirrel,X,,,X,,,,X,X,X,,,X,
starfish,,,X,,,X,X,,,,,,,
stingray,,,X,,,X,X,X,X,,X,X,X,
swan,    ,X,X,,X,X,,,X,X,,,X,
termite, ,,X,,,,,,,X,,,,
toad,    ,,X,,,X,,X,X,X,,,,
tortoise,,,X,,,,,,X,X,,,X,
tuatara, ,,X,,,,X,X,X,X,,,X,
tuna,    ,,X,,,X,X,X,X,,,X,X,
vampire, X,,,X,X,,,X,X,X,,,X,
vole,    X,,,X,,,,X,X,X,,,X,
vulture, ,X,X,,X,,X,,X,X,,,X,
wallaby, X,,,X,,,,X,X,X,,,X,
wasp,    X,,X,,X,,,,,X,X,,,
wolf,    X,,,X,,,X,X,X,X,,,X,
worm,    ,,X,,,,,,,X,,,,
wren,    ,X,X,,X,,,,X,X,,,X,
